zeitpunkt,betreff,entscheid,quelle,kategorie,grund,ordner
2026-09-23T15:20:01.456Z,Newsletter der Stadt Aarau,aussortiert,claude,Baugesuch,"Es handelt sich um eine reine Bekanntmachung von Baugesuchen (öffentliche Auflage), ohne weitergehende politische Substanz.",
2026-09-23T15:42:10.326Z,Projektauflage,verarbeitet,claude,Amtliche Publikation,"Öffentliche Projektauflage zur Sanierung der Schachenallee betrifft städtische Infrastrukturplanung, keine reine Routinepublikation oder privates Baugesuch.",2026-09-23-projektauflage-sanierung-schachenallee
2026-09-23T15:49:03.456Z,Öffentliche Auflage,verarbeitet,claude,Amtliche Publikation,"Öffentliche Auflage zur Teilrevision der Nutzungsplanung (Kommunale Kulturschutzobjekte) betrifft eine planungsrechtliche Vernehmlassung mit politischer Substanz, kein reines Routinegesuch.",2026-09-23-oeffentliche-auflage-teilrevision-nutzungsplanung-kommunale-kulturschutzobjekte
2026-09-23T15:50:28.482Z,Newsletter der Stadt Aarau,aussortiert,claude,Baugesuch,"Reine Bekanntmachung von Baugesuchen (Woche 36) mit öffentlicher Auflage, keine weitergehende politische Substanz.",
2026-09-23T15:51:27.233Z,Primarschule Aare: Ergebnisse der vertieften Qualitätsüberprüfung,verarbeitet,claude,Medienmitteilung,"Berichtet über Ergebnisse einer kantonalen Qualitätsüberprüfung an einem Schulstandort – betrifft Bildungspolitik und Verwaltungshandeln, somit politisch substanziell.",2026-09-23-primarschule-aare-ergebnisse-der-vertieften-qualitaetsueberpruefung
2026-09-23T15:52:55.268Z,Stadt Aarau hebt Feuerwerksverbot auf,verarbeitet,claude,Medienmitteilung,Beschluss des Stadtrats zur Aufhebung des Feuerwerksverbots – politisch relevante Entscheidung mit direkter Wirkung auf die Öffentlichkeit.,2026-09-23-stadt-aarau-hebt-feuerwerksverbot-auf
2026-09-23T15:54:05.333Z,Allgemeinverfügung,aussortiert,claude,Amtliche Publikation,"Reine Verwaltungsverfügung zu Feuerwerk/Höhenfeuern, keine politische Substanz wie Budget, Planung oder Vernehmlassung.",
2026-09-23T16:04:38.898Z,Jubiläum: 500 Jahre Bachfischet,aussortiert,claude,Medienmitteilung,"Ankündigung eines Jubiläumsfests (Bachfischet), keine politische Substanz wie Beschlüsse, Budget oder Planung.",
2026-09-23T16:06:28.942Z,Zusätzliche Abklärungen Oberstufenstandorte Aarau,verarbeitet,claude,Medienmitteilung,"Betrifft Schulraumplanung für Oberstufe Aarau bis 2037, inkl. Baurechtsvertrag – politisch relevante Planungsentscheidung, kein reines Routine-Baugesuch.",2026-09-23-stadtrat-kuendigt-weitere-abklaerungen-zu-oberstufenstandorten-an
2026-09-23T16:07:45.959Z,Historischer Brunnen erhält neuen Platz am Aareufer,aussortiert,claude,Medienmitteilung,"Reine Info über Standortverlegung eines historischen Brunnens, keine politische Substanz wie Beschluss, Budget oder Vernehmlassung.",
2026-09-24T06:00:43.020Z,Newsletter der Stadt Aarau,verarbeitet,claude,Medienmitteilung,Öffentliche Mitwirkung zur Änderung eines Erschliessungsplans betrifft Planungsrecht und städtische Entwicklung – echte politische Substanz.,2026-09-24-oeffentliche-mitwirkung-zur-aenderung-des-erschliessungsplans-nr-3
2026-09-25T06:01:42.661Z,Newsletter der Stadt Aarau,verarbeitet,claude,Medienmitteilung,"Berichtet über Schliessung von Kindergärten wegen Wasserschaden und geplante Instandsetzung ab 2027 – betrifft städtische Infrastrukturplanung, somit politisch relevant.",2026-09-25-wasserschaden-im-kindergarten-aare-instandsetzung-ab-2027
2026-09-26T08:27:33.567Z,Publikation: Ausschreibung Taxi-Betriebsbewilligung A,aussortiert,claude,Amtliche Publikation,"Routinemässige Ausschreibung einer einzelnen Taxi-Betriebsbewilligung ohne politische Substanz (kein Beschluss, Budget oder Planung).",
